,SEC,obp,slg,ops,ra/g,ACC,obp,slg,ops,ra/g
,Arkansas,0.364,0.479,0.843,3.2,Wake Forest,0.455,0.597,1.052,3.2
,Tenessee,0.381,0.496,0.877,3.5,Clemson,0.391,0.470,0.861,2.4
,Florida,0.429,0.570,0.999,4,NC State,0.481,0.682,1.163,2.3
,Vanderbilt,0.438,0.600,1.038,4.4,North Carolina,0.448,0.542,0.990,2.7
,LSU,0.444,0.533,0.977,4.4,Pittsburgh,0.490,0.558,1.048,3.7
,Texas A&M,0.467,0.587,1.054,3.5,Louisville,0.422,0.495,0.917,6.3
,Texas,0.442,0.558,1.000,1.7,Miami,0.465,0.644,1.109,5.1
,Ole Miss,0.433,0.535,0.968,3.7,California,0.332,0.441,0.773,4.5
,Mississippi St,0.464,0.587,1.051,3.8,Stanford,0.347,0.434,0.781,6.3
,Oklahoma,0.470,0.552,1.022,3.6,Virginia,0.451,0.553,1.004,5.3
,Auburn,0.411,0.436,0.847,3.9,Virginia Tech,0.385,0.448,0.833,6.8
,Alabama,0.399,0.470,0.869,4.5,Duke,0.415,0.454,0.869,3.8
,Georgia,0.492,0.722,1.214,2.8,Boston College,0.362,0.411,0.773,4.8
,Kentucky,0.397,0.441,0.838,3.3,Notre Dame,0.419,0.477,0.896,3.9
,Missouri,0.474,0.479,0.953,3.6,Georgia Tech,0.545,0.703,1.248,4.2
,South Carolina,0.357,0.446,0.803,3.8,Florida St,0.395,0.401,0.796,4
,,,,,,,,,,
,Big 10,obp,slg,ops,ra/g,Big 12,obp,slg,ops,ra/g
,Oregon,0.425,0.568,0.993,3,Arizona State,0.412,0.556,0.968,4.6
,USC,0.392,0.444,0.836,1.9,West Virginia,0.424,0.482,0.906,3.7
,Iowa,0.451,0.49,0.941,6.3,Houston,0.394,0.429,0.823,4.3
,UCLA,0.416,0.580,0.996,4,Kansas,0.38,0.403,0.783,5.3
,Minnesota,0.41,0.560,0.970,4.2,Cincinnati,0.394,0.415,0.809,4.4
,Northwestern,0.389,0.456,0.845,7.9,Kansas State,0.394,0.429,0.823,4.3
,Ohio State,0.345,0.372,0.717,5.2,Utah,0.341,0.341,0.682,6.3
,Michigan,0.37,0.395,0.765,4.4,Baylor,0.416,0.419,0.835,4.9
,Nebraska,0.386,0.468,0.854,6.3,Oklahom State,0.393,0.544,0.937,4.5
,Purdue,0.413,0.463,0.876,4.6,Texas Tech,0.480,0.586,1.066,7.1
,Rutgers,0.390,0.463,0.853,4.9,UCF,0.358,0.342,0.7,4
,Illinois,0.388,0.510,0.898,5.7,BYU,0.345,0.401,0.746,5.2
,Maryland,0.418,0.481,0.899,6.7,TCU,0.413,0.404,0.817,6.9
,Indiana,0.375,0.385,0.76,6.5,Arizona,0.314,0.33,0.644,5.3
,Michigan State,0.286,0.303,0.589,4.6,,,,0,
,Penn State,0.357,0.397,0.754,7.4,,,,0,
,Washington,0.345,0.389,0.734,7.4,,,,0,
,,,,,,,,,,
,Mid-majors,obp,slg,ops,ra/g,Mid-majors,obp,slg,ops,ra/g
,Southern Miss,0.403,0.47,0.873,3.2,UC Santa Barbara,0.384,0.444,0.828,2.7
,UTSA,0.469,0.561,1.03,5.5,Coastal Carolina,0.38,0.382,0.762,5.5
,UC Irvine,0.352,0.29,0.642,4.2,Louisiana Tech,0.392,0.513,0.905,4.6
,Cal Poly,0.308,0.325,0.633,5.6,Kent State,0.373,0.397,0.77,4.6
,San Diego,0.361,0.419,0.780,6.2,Utah Valley,0.397,0.457,0.854,5.6
,South Florida,0.397,0.414,0.811,3.9,Dallas Baptist,0.432,0.553,0.985,6.4
,Missouri State,0.404,0.507,0.911,5.3,Mercer,0.454,0.523,0.977,4.8
,Charlotte,0.409,0.473,0.882,5.1,Xavier,0.312,0.429,0.741,8.4
,East Carolina,0.38,0.413,0.793,4.5,Liberty,0.38,0.355,0.735,4
,Murray St.,0.441,0.508,0.949,5.7,Troy,0.368,0.442,0.81,6.5
,Hawaii,0.336,0.327,0.663,3.8,Louisiana,0.343,0.368,0.711,4.3
,Creighton,0.389,0.421,0.810,8.2,South Alabama,0.406,0.475,0.881,5.7
,UAB,0.382,0.454,0.836,6.8,Fullerton,0.328,0.331,0.659,4.1
,,,,,,Oregon St.,0.327,0.336,0.663,4.4
