Date,Away Team,Home Team,Location,Away Win %,Home Win %,PEAR,GQI,Away Net,Home Net,Final Score
2026-02-16,Michigan,Oregon St.,Neutral,40.2%,59.8%,Oregon St. -1.31,9.0,24,30,Oregon St. 5-4
2026-02-16,Kent St.,LSU,Away,14.0%,86.0%,LSU -5.25,8.1,22,14,LSU 10-7
2026-02-16,Stanford,Nebraska,Neutral,45.5%,54.5%,Nebraska -0.63,8.0,100,45,Stanford 11-6
2026-02-16,California,Santa Clara,Away,57.1%,42.9%,California -1.09,7.6,42,121,Santa Clara 10-4
2026-02-16,BYU,Western Ky.,Away,44.0%,56.0%,Western Ky. -0.75,7.3,111,110,BYU 12-8
2026-02-16,Utah,Fresno St.,Home,51.0%,49.0%,Utah -0.19,7.1,47,168,
2026-02-16,Gonzaga,Hawaii,Away,32.0%,68.0%,Hawaii -2.28,6.7,155,37,Hawaii 4-3
2026-02-16,Kansas St.,Air Force,Neutral,77.2%,22.8%,Kansas St. -3.76,5.7,21,210,Kansas St. 11-8
2026-02-16,Arkansas,Tarleton St.,Neutral,89.0%,11.0%,Arkansas -6.14,5.7,17,176,Arkansas 3-1
2026-02-16,Houston,Washington,Neutral,70.9%,29.1%,Houston -2.71,5.0,43,259,Houston 8-7
2026-02-16,New Mexico St.,Oklahoma,Away,5.6%,94.4%,Oklahoma -8.03,4.6,244,5,Oklahoma 10-6
2026-02-16,NIU,N.C. A&T,Home,63.9%,36.1%,NIU -1.68,4.6,166,238,NIU 6-5
