TSR,OWP,RPI,SEC,obp,slg,ops,ra/g,ACC,obp,slg,ops,ra/g,TSR,RPI,OWP
1.626,0.4774,0.5806,Arkansas,0.385,0.473,0.858,2.9,Wake Forest,0.457,0.518,0.975,4.3,1.6359,0.6394,0.4515
1.6745,0.5339,0.6276,Tenessee,0.374,0.479,0.853,3.4,Clemson,0.435,0.536,0.971,2.4,1.875,0.6527,0.4911
1.718,0.6666,0.5565,Florida,0.409,0.536,0.945,4.5,NC State,0.47,0.653,1.123,3.1,1.713,0.5762,0.3238
1.537,0.3738,0.5077,Vanderbilt,0.428,0.617,1.045,3.9,North Carolina,0.413,0.495,0.908,3.8,1.644,0.6269,0.4888
1.444,0.4146,0.5659,LSU,0.418,0.505,0.923,4.6,Pittsburgh,0.485,0.607,1.092,3.6,1.648,0.571,0.3449
1.820,0.3991,0.6505,Texas A&M,0.47,0.600,1.070,3,Louisville,0.43,0.51,0.94,5.9,1.3568,0.5578,0.449
1.954,0.4604,0.7007,Texas,0.45,0.583,1.033,2.4,Miami,0.446,0.590,1.036,5.2,1.528,0.5847,0.4275
1.814,0.5122,0.6504,Ole Miss,0.438,0.553,0.991,3.4,California,0.38,0.54,0.92,4.2,1.5169,0.5965,0.4204
1.774,0.4426,0.6452,Mississippi St,0.465,0.601,1.066,3.8,Stanford,0.351,0.482,0.833,7.3,1.1574,0.4644,0.59
1.718,0.4272,0.6345,Oklahoma,0.454,0.512,0.966,3.1,Virginia,0.428,0.519,0.947,5.4,1.5226,0.626,0.4896
1.761,0.5168,0.6737,Auburn,0.422,0.458,0.880,3.1,Virginia Tech,0.383,0.430,0.813,8.3,1.190,0.5564,0.6508
1.602,0.4748,0.6314,Alabama,0.425,0.481,0.906,4.1,Duke,0.41,0.476,0.886,4.1,1.3648,0.5353,0.3535
1.807,0.3047,0.5845,Georgia,0.487,0.731,1.218,3,Boston College,0.35,0.398,0.748,4.6,1.354,0.5509,0.5152
1.499,0.3446,0.6063,Kentucky,0.423,0.485,0.908,3.6,Notre Dame,0.41,0.478,0.888,3.5,1.6403,0.5909,0.5114
1.476,0.2905,0.5843,Missouri,0.468,0.523,0.991,3.9,Georgia Tech,0.529,0.675,1.204,4.2,1.7473,0.6154,0.3479
1.647,0.5201,0.5852,South Carolina,0.384,0.508,0.892,3.5,Florida St,0.431,0.503,0.934,3.9,1.7603,0.6551,0.5612
,,,,,,,,,,,,,,,
,,,Big 10,obp,slg,ops,ra/g,Big 12,obp,slg,ops,ra/g,,,
1.625,0.4128,0.6102,Oregon,0.417,0.555,0.972,3.7,Arizona State,0.433,0.603,1.036,4.3,1.6696,0.5757,0.4879
1.7761,0.4458,0.6953,USC,0.378,0.447,0.825,1.9,West Virginia,0.428,0.473,0.901,3.8,1.5954,0.6165,0.4579
1.4178,0.5392,0.5636,Iowa,0.441,0.504,0.945,6.3,Houston,0.413,0.467,0.88,4.4,1.536,0.5849,0.5111
1.751,0.5204,0.6676,UCLA,0.429,0.544,0.973,4.1,Kansas,0.384,0.411,0.795,5.7,1.2745,0.5679,0.4816
1.663,0.4554,0.6115,Minnesota,0.421,0.535,0.956,3.6,Cincinnati,0.418,0.499,0.917,4.2,1.6832,0.6436,0.5426
