,SEC,obp,slg,ops,ra/g,ACC,obp,slg,ops,ra/g
,Arkansas,0.359,0.464,0.823,3.7,Wake Forest,0.421,0.424,0.845,3.1
,Tenessee,0.405,0.564,0.969,2.9,Clemson,0.428,0.534,0.962,2
,Florida,0.449,0.601,1.050,4.2,NC State,0.459,0.681,1.140,2
,Vanderbilt,0.478,0.695,1.173,3.7,North Carolina,0.417,0.480,0.897,2.9
,LSU,0.476,0.621,1.097,4.6,Pittsburgh,0.481,0.531,1.012,4
,Texas A&M,0.487,0.636,1.123,3,Louisville,0.405,0.479,0.884,6.8
,Texas,0.452,0.573,1.025,1.6,Miami,0.494,0.710,1.204,4.6
,Ole Miss,0.472,0.566,1.038,3.2,California,0.336,0.427,0.763,5.1
,Miss St,0.468,0.581,1.049,2.9,Stanford,0.329,0.364,0.693,4.5
,Oklahoma,0.482,0.546,1.028,3.4,Virginia,0.492,0.608,1.100,5.8
,Auburn,0.392,0.430,0.822,3.4,Virginia Tech,0.419,0.450,0.869,5.9
,Alabama,0.411,0.444,0.855,4.1,Duke,0.408,0.435,0.843,3.7
,Georgia,0.477,0.687,1.164,3,Boston College,0.353,0.410,0.763,4.1
,Kentucky,0.43,0.495,0.925,4.2,Notre Dame,0.367,0.368,0.735,5
,Missouri,0.491,0.516,1.007,3.3,Georgia Tech,0.544,0.655,1.199,4.3
,South Carolina,0.398,0.526,0.924,3.8,Florida St,0.398,0.418,0.816,5.3
,,,,,,,,,,
,Big 10,obp,slg,ops,ra/g,Big 12,obp,slg,ops,ra/g
,Oregon,0.437,0.55,0.987,2.4,Arizona State,0.442,0.604,1.046,3.7
,USC,0.37,0.421,0.791,1.6,West Virginia,0.415,0.48,0.895,3.6
,Iowa,0.481,0.543,1.024,6.2,Houston,0.412,0.449,0.861,4.6
,UCLA,0.405,0.557,0.962,3.9,Kansas,0.396,0.404,0.800,4.1
,Minnesota,0.411,0.564,0.975,3.7,Cincinnati,0.429,0.465,0.894,4.7
,Northwestern,0.405,0.477,0.882,5,Kansas State,0.403,0.448,0.851,4.4
,Ohio State,0.362,0.373,0.735,4,Utah,0.382,0.417,0.799,5.5
,Michigan,0.359,0.374,0.733,5.1,Baylor,0.439,0.455,0.894,4.1
,Nebraska,0.402,0.476,0.878,4,Oklahom State,0.401,0.536,0.937,6
,Purdue,0.356,0.38,0.736,4.9,Texas Tech,0.462,0.52,0.982,7
,Rutgers,0.431,0.475,0.906,4.3,UCF,0.394,0.411,0.805,4
,Illinois,0.376,0.503,0.879,6.6,BYU,0.345,0.413,0.758,5.1
,Maryland,0.378,0.443,0.821,6.4,TCU,0.353,0.372,0.725,8.5
,Indiana,0.378,0.355,0.733,7,Arizona,0.299,0.307,0.606,6.1
,Michigan State,0.288,0.305,0.593,5.2,,,,,
,Penn State,0.36,0.379,0.739,8.2,,,,,
,Washington,0.361,0.378,0.739,8.4,,,,,
,,,,,,,,,,
,Mid-majors,obp,slg,ops,ra/g,Mid-majors,obp,slg,ops,ra/g
,Southern Miss,0.402,0.455,0.857,3.8,UCSB,0.363,0.413,0.776,3.3
,UTSA,0.483,0.529,1.012,4.9,Coastal Carolina,0.409,0.402,0.811,4.2
,UC Irvine,0.331,0.28,0.611,3.8,Louisiana Tech,0.431,0.562,0.993,3.3
,Cal Poly,0.348,0.347,0.695,4,Kent State,0.37,0.385,0.755,5
,San Diego,0.442,0.478,0.92,5.6,Utah Valley,0.361,0.392,0.753,6.4
,South Florida,0.423,0.441,0.864,4.7,Dallas Baptist,0.314,0.429,0.743,4.8
,Missouri State,0.394,0.502,0.896,5.4,Mercer,0.466,0.519,0.985,5.1
,Charlotte,0.405,0.452,0.857,5.6,Xavier,0.31,0.447,0.757,9.2
,East Carolina,0.378,0.398,0.776,5.3,Liberty,0.341,0.304,0.645,3.9
,Murray St.,0.416,0.468,0.884,6.3,Troy,0.41,0.496,0.906,7.3
,Hawaii,0.334,0.319,0.653,4.9,Louisiana,0.333,0.351,0.684,4.7
,Creighton,0.381,0.382,0.763,8.3,South Alabama,0.387,0.474,0.861,6.3
,UAB,0.366,0.417,0.783,7.2,Fullerton,0.307,0.283,0.590,4
